iter	Passed	Remaining
408	4849	18865
409	4860	18847
410	4866	18813
411	4875	18791
412	4883	18766
413	4892	18743
414	4899	18713
415	4907	18687
416	4915	18658
417	4923	18633
418	4930	18605
419	4939	18582
420	4948	18558
421	4957	18539
422	4965	18511
423	4972	18483
424	4981	18460
425	4988	18430
426	4996	18406
427	5003	18378
428	5011	18350
429	5019	18328
430	5027	18300
431	5035	18277
432	5043	18250
433	5051	18227
434	5057	18196
435	5066	18172
436	5074	18148
437	5081	18122
438	5092	18107
439	5102	18089
440	5110	18065
441	5118	18043
442	5125	18016
443	5134	17993
444	5143	17974
445	5151	17950
446	5161	17931
447	5168	17905
448	5176	17881
449	5185	17860
450	5192	17832
451	5201	17815
452	5209	17789
453	5219	17773
454	5229	17757
455	5239	17740
456	5246	17714
457	5256	17697
458	5263	17670
459	5270	17646
460	5278	17620
461	5288	17604
462	5298	17588
463	5305	17563
464	5315	17546
465	5323	17524
466	5333	17509
467	5342	17487
468	5350	17465
469	5358	17444
470	5366	17421
471	5374	17399
472	5382	17376
473	5389	17352
474	5399	17336
475	5408	17317
476	5415	17290
477	5424	17272
478	5433	17253
479	5441	17230
480	5449	17209
481	5456	17185
482	5464	17164
483	5472	17141
484	5479	17116
485	5486	17091
486	5492	17065
487	5502	17048
488	5511	17031
489	5518	17005
490	5526	16986
491	5535	16965
492	5540	16937
493	5548	16914
494	5556	16893
495	5564	16874
496	5571	16850
497	5579	16829
498	5588	16811
499	5598	16794
500	5607	16777
501	5615	16755
502	5622	16734
503	5630	16713
504	5638	16691
505	5646	16670
506	5653	16646
507	5661	16627
508	5670	16609
509	5677	16586
510	5688	16574
511	5697	16557
512	5703	16533
513	5713	16518
514	5722	16499
515	5728	16476
516	5735	16453
517	5744	16435
518	5748	16405
519	5755	16381
520	5762	16357
521	5769	16335
522	5776	16312
523	5785	16297
524	5794	16280
525	5801	16257
526	5810	16240
527	5822	16233
528	5833	16221
529	5841	16202
530	5845	16171
531	5854	16153
